Unnamed: 0,created_at,text,user_name,user_location,retweet_count,favorite_count
1843,13/03/2020 15:22,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,changed by popular request,norfolk,143,0
1844,13/03/2020 15:22,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,Pink Susan,United Kingdom,143,0
1845,13/03/2020 15:21,RT CaptainDick12 Canadian scientists make COVID 19 research breakthrough isolating virus Only in Canada These ,Kevin McDade,nan,28,0
1846,13/03/2020 15:21,RT myulek Canada PM and wife have coronavirus But BBC services the news with a picture from Turkey Problems with quality of educatio ,Hudaverdi Cakir,nan,4,0
1847,13/03/2020 15:20, susan boro BW Germany has free university education amp a superb public private partnership in R amp D itay also help t ,Mary Johanna,Paradise,0,0
1848,13/03/2020 15:20,University of Pittsburgh Executive Director Office of Executive Education and Related Programs ,JBHE Employment Zone,nan,0,0
1849,13/03/2020 15:20,RT khadijasanusi With time the plan was for the books to be inherited by B U K My father wanted university students to have access to ,Saleh Iliya,Abuja,532,0
1850,13/03/2020 15:20,RT Naomi Kyla Hey college students Quick message to ya Your university college is run by human beings They are dealing with every em ,em,nan,1,0
1851,13/03/2020 15:20,RT ExpressNews Forced to move out Trinity University students rush to move home or find off campus housing ,Sandy Rendon,San Antonio TX,9,0
1852,13/03/2020 15:19,RT ConnorRothbard EricRWeinstein In person university classes are being replaced by online classes which makes one wonder why they re p ,Eme,WORLD ,11,0
1853,13/03/2020 15:19,RT McHughJoeTD Please see below a very powerful message from a Consultant Respiratory Paediatrician at Cork University Hospital This mes ,Lora Beth Malloy,Ireland,117,0
1854,13/03/2020 15:19,RT fenrir 71 Because of course they are HowToEvangelical NoMoreProfitsBeforePeople ,Anne Drayton,Boston MA,6,0
1855,13/03/2020 15:17, NEWS According to new data published by the UK s Higher Education Statistical Agency and warwickuni graduates ea ,True Education Partnerships,Liverpool England,0,0
1856,13/03/2020 15:17,RT McHughJoeTD Please see below a very powerful message from a Consultant Respiratory Paediatrician at Cork University Hospital This mes ,Glasnevin ETNS,Dublin Ireland,117,0
1857,13/03/2020 15:17,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,David Shanks,nan,143,0
1858,13/03/2020 15:17,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p , Warwick Hunt ,Durham U K ,143,0
1859,13/03/2020 15:17,RT fenrir 71 Because of course they are HowToEvangelical NoMoreProfitsBeforePeople ,Puss E Pawed,nan,6,0
1860,13/03/2020 15:16,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,Maurice Ward,Otautahi Aotearoa NZ,143,0
1861,13/03/2020 15:16,RT fenrir 71 Because of course they are HowToEvangelical NoMoreProfitsBeforePeople ,Central Scrutinizer,Nashville TN,6,0
1862,13/03/2020 15:16,RT HistoricaCanada Discover how residential schools continue to affect Indigenous communities in the present day in our revamped Residen ,Janet Milligan,nan,33,0
