,created_at,text,user_name,user_location,retweet_count,favorite_count
458,13/03/2020 21:54,RT @madisondotcom: The employee recently traveled to a country with widespread transmission of the coronavirus and is currently isolated at…,Christopher Doyle,"Madison, WI",2,0
459,13/03/2020 21:54,"RT @rally4resources: They also worked AGAINST

??14 Indigenous communities that would've benefited

??40+ years of economic benefits

??700…",Sean McGill,"Gunton, Manitoba",118,0
460,13/03/2020 21:54,"RT @Radboud_Uni: Until 31 March, there will be no education on campus. For the time being, no exams will be administered either. We request…",Monic Schijvenaars,Nijmegen,9,0
461,13/03/2020 21:54,I see life like one long university education I never had. I learn something every day. – Richard Branson #leadership #success,Loetta Pearl Paulsen,"Seattle, WA",1,1
462,13/03/2020 21:53,"@Patrici07994754 Immigration, refugee and irregular border migrant
increases without funding for increased demand o… https://t.co/TJNGn9gw3h",Everyone has something to learn from somebody.,,0,0
463,13/03/2020 21:52,"RT @KellyMeyerhofer: 1st case for Wisconsin's flagship university. 
https://t.co/k6QI4U4GC1",Mercenary Apothecary,Wisconsin,4,0
464,13/03/2020 21:51,"RT @oyostategovt: This afternoon, Gov. Seyi Makinde received the management of University Press PLC on a courtesy visit. 
The team was led…",Ne-Yo ?,Ibadan,10,0
465,13/03/2020 21:50,"RT @ucu: ""The university strikes are something we all need to pay attention to - it's a fight about how all of us want to live""
Shadow educ…",Tony Wilson,,39,0
466,13/03/2020 21:49,"RT @rally4resources: They also worked AGAINST

??14 Indigenous communities that would've benefited

??40+ years of economic benefits

??700…",SP,,118,0
467,13/03/2020 21:48,RT @nseducation: The Province is directing public sector employees who travel outside Canada to stay home and self-isolate for 14 days afte…,SWaggGrade2,"Holland Road Elementary, N.S.",16,0
468,13/03/2020 21:48,RT @McHughJoeTD: Please see below a very powerful message from a Consultant Respiratory Paediatrician at Cork University Hospital. This mes…,Mary Howard,Ennis Co Clare,117,0
469,13/03/2020 21:47,I’m blessed to announce that I have officially committed to University of the Cumberlands to further my education a… https://t.co/DgsYFOgtoD,Lindsey shope,"Whitley County, Ky",5,26
470,13/03/2020 21:47,"RT @Radboud_Uni: Until 31 March, there will be no education on campus. For the time being, no exams will be administered either. We request…",Berend Geurts,Nijmegen,9,0
471,13/03/2020 21:47,RT @madisondotcom: The employee recently traveled to a country with widespread transmission of the coronavirus and is currently isolated at…,?????? ??????,"Madison, Wisconsin",2,0
472,13/03/2020 21:47,RT @theIMEU: Rep. Paul Gosar (R-AZ) is calling for the Department of Education to investigate the Center for Middle East Studies at the Uni…,#NoJusticeNoPeace,"California, USA",5,0
473,13/03/2020 21:47,RT @csusmnews: How will universities like #CSUSM pull off a mid-semester transition to virtual learning due to the coronavirus threat? @gro…,Eric Breier,Cal State San Marcos,4,0
474,13/03/2020 21:46,"RT @kim_siever: @albertaNDP also leading over the @Alberta_UCP with people making under $100,000 and with people with at least a university…",Dr. Jessica Theodor,"Treaty 7 (Calgary, AB, Canada)",5,0
475,13/03/2020 21:46,The employee recently traveled to a country with widespread transmission of the coronavirus and is currently isolat… https://t.co/5ZAWwEdRBi,madison.com,"Madison, WI",2,0
476,13/03/2020 21:45,Rep. Paul Gosar (R-AZ) is calling for the Department of Education to investigate the Center for Middle East Studies… https://t.co/MKxiGTvjQm,IMEU,,5,8
477,13/03/2020 21:42,"RT @ucu: ""The university strikes are something we all need to pay attention to - it's a fight about how all of us want to live""
Shadow educ…",Dr Oakley-Brown: on #UCUstrike/Social Distancing,Anywhere near books/music,39,0
478,13/03/2020 21:42,"RT @CaptainDick12: Canadian scientists make COVID-19 research breakthrough, isolating virus https://t.co/fvh6OApufg  Only in Canada. These…",Char Mar,alberta,28,0
479,13/03/2020 21:42,The employee recently traveled to a country with widespread transmission of the coronavirus and is currently isolat… https://t.co/KwXcBmwsq9,Wisconsin State Journal,"Madison, Wisconsin",0,1
480,13/03/2020 21:40,RT @nseducation: The Province is directing public sector employees who travel outside Canada to stay home and self-isolate for 14 days afte…,Ryley Boutilier yt,Mind coming soon,16,0
481,13/03/2020 21:40,"RT @oyostategovt: This afternoon, Gov. Seyi Makinde received the management of University Press PLC on a courtesy visit. 
The team was led…",adetoroadegbola,,10,0
