source_name,author,title,description,publishedAt
Globalnews.ca,gabbyrodrigues,Sudbury man who attended Toronto convention confirmed as Ontario’s 37th coronavirus case - Global News,Sudbury man who attended Toronto convention confirmed as Ontario’s 37th coronavirus case Global News Toronto man who returned from Switzerland is Ontario's 36th COVID-19 case CP24 Toronto's Breaking News New coronavirus case confirmed in Ontario durhamradione…,2020-03-10T15:39:15Z
Citynews1130.com,,Air Canada flight to YVR evacuated in San Francisco Sunday - CityNews Vancouver,Air Canada flight to YVR evacuated in San Francisco Sunday CityNews Vancouver Air Canada flight bound for Vancouver forced to return to San Francisco CTV News Bathroom smoke alarm forces emergency evacuation of Air Canada flight | News Daily Hive Reported smo…,2020-03-01T21:47:04Z
Bnnbloomberg.ca,The Canadian Press,"Bank of Canada pumps $7B, expands bond buy-backs to ease economic concerns - BNNBloomberg.ca","Bank of Canada pumps $7B, expands bond buy-backs to ease economic concerns BNNBloomberg.ca Bank of Canada says it will provide more liquidity for markets The Globe and Mail Bank of Canada pumps $7B, expands bond buy-backs - Business News Castanet.net Bank of …",2020-03-12T22:20:49Z
Cp24.com,Chris Herhalt,Toronto man who returned from Switzerland is Ontario's 36th COVID-19 case - CP24 Toronto's Breaking News,Toronto man who returned from Switzerland is Ontario's 36th COVID-19 case CP24 Toronto's Breaking News Sudbury man who attended Toronto convention confirmed as Ontario’s 37th coronavirus case Global News Ontario's 36th COVID-19 patient is a Toronto man who tr…,2020-03-10T14:40:00Z
The Globe And Mail,"Matt Sedensky, John Leicester",WHO urges governments to pull out 'all the stops' to slow spread of coronavirus - The Globe and Mail,WHO urges governments to pull out 'all the stops' to slow spread of coronavirus The Globe and Mail Canada confirms first 'community case' of COVID-19: Here's what that means CTV News Chinese province at centre of coronavirus outbreak reports no new cases outs…,2020-03-05T10:56:12Z
Cp24.com,The Canadian Press,"Ontario reports three new coronavirus cases, brings province's total to 18 - CP24 Toronto's Breaking News","Ontario reports three new coronavirus cases, brings province's total to 18 CP24 Toronto's Breaking News LILLEY: Health officials reveal 4 new cases of COVID-19 Sunday in GTA Toronto Sun Coronavirus in Canada: Here’s a timeline of cases across provinces Global…",2020-03-02T17:15:00Z
Cp24.com,The Canadian Press,"Bank of Canada to create its own digital currency as 'contingency,' deputy says - CP24 Toronto's Breaking News","Bank of Canada to create its own digital currency as 'contingency,' deputy says CP24 Toronto's Breaking News Bank of Canada lays groundwork for digital currency BNNBloomberg.ca Bank of Canada decides against launching digital currency, but leaves door open Th…",2020-02-25T17:46:00Z
The Globe And Mail,,"Barricades at rail crossings must now come down, Trudeau says - The Globe and Mail","Barricades at rail crossings must now come down, Trudeau says The Globe and Mail Canadian rail blockades: B.C. RCMP's offer; Wet'suwet'en hereditary chiefs' trip to ON Global News Trudeau says rail barricades 'need to come down now,' rules out sending in sold…",2020-02-21T20:43:00Z
TechCrunch,Steve O'Hear,AudioTelligence raises $8.5M Series A to bring its ‘autofocus for sound’ to voice assistants,"AudioTelligence, a startup that spun out of University of Cambridge-funded CEDAR Audio, has raised $8.5 million in Series A funding for its “autofocus for sound”. Leading the round is Octopus Ventures, with participation from existing investors Cambridge Inno…",2020-03-02T09:00:56Z
Gizmodo.com,Tom McKay,Canadian Privacy Commissioners to Investigate Creepy Facial Recognition Firm Clearview AI,"Canadian authorities are investigating shady face recognition company Clearview AI on the grounds that its scraping of billions of photos from the web might violate privacy laws, Reuters reported on Friday. Read more...",2020-02-21T23:29:00Z
TechCrunch,Sarah Buhr,Molekule hopes to clear the air with $58 million in Series C funding and Berkeley Lab’s seal of approval,"Silicon Valley air purifier startup Molekule was born out of an idea Florida University Dr. Yogi Goswami had back in the 90’s using photo-voltaic technology to kill air pollutants. His son, a young boy at the time, suffered from severe allergies and Dr. Goswa…",2020-02-25T18:04:52Z
TechCrunch,Megan Rose Dickey,"Inside the effort to turn startups into zebras, not unicorns","The priorities of venture capitalists don’t always align with those of startup founders and their workers. That’s why we’ve started to see more conversation and activity around cooperatives and the idea of Exiting to Community, spearheaded by Nathan Schneider…",2020-03-05T16:15:23Z
TechCrunch,Danny Crichton,Stanford cancels classes in response to novel coronavirus outbreak,"Following on the heels of several major cancellations of events the past few days, including the SXSW conference in Austin and the tech conference SaaStr, Stanford University, which is located in the heart of Silicon Valley in Palo Alto, California, announced…",2020-03-07T05:14:22Z
Youtube.com,,"Coronavirus outbreak: Toronto confirms new presumptive case, notes previous travel to Iran - Global News","Coronavirus outbreak: Toronto confirms new presumptive case, notes previous travel to Iran Global News New COVID-19 case in Ontario, a woman who was recently in Iran CBC News Timeline of COVID-19 cases in Canada Kamloops Matters Officials trying to trace Toro…",2020-02-26T18:19:24Z
Ctvnews.ca,Kayla Goodfield,Husband of Ontario's fifth COVID-19 patient also tests positive for virus - CTV News,Husband of Ontario's fifth COVID-19 patient also tests positive for virus CTV News Husband of Toronto woman who returned from Iran now Ontario's sixth COVID-19 case CP24 Toronto's Breaking News Timeline coronavirus (COVID-19) in Canada CTV News Husband of COV…,2020-02-27T13:18:00Z
Engadget,Richard Lawler,"Disney+ will start streaming 'Frozen 2' on Sunday, three months early","In a move that feels in parts altruistic and business savvy, Disney has bumped up the Disney+ streaming release date for Frozen 2 to this weekend. Many families are unexpectedly home and certainly feeling the stress of everything going on due to coronavirus, …",2020-03-14T02:01:00Z
Vancouversun.com,,COVID-19: Here are all the B.C. cases of the novel coronavirus - Standard Freeholder,"COVID-19: Here are all the B.C. cases of the novel coronavirus Standard Freeholder Coronavirus outbreak: New presumptive case of COVID-19 confirmed in Canada | FULL Global News New case of coronavirus confirmed in Toronto, health officials say The Globe and M…",2020-02-24T20:38:44Z
Ctvnews.ca,,"Ontario confirms three new cases of COVID-19 in GTA, bringing total confirmed to 11 - CTV News","Ontario confirms three new cases of COVID-19 in GTA, bringing total confirmed to 11 CTV News What measures have Canadian airports taken since the COVID-19 outbreak? Global News What's next for Canada if the WHO calls COVID-19 a pandemic? CBC.ca Ontario confir…",2020-02-29T20:17:00Z
News-medical.net,,LDL Cholesterol and Heart Disease - News-Medical.net,LDL Cholesterol and Heart Disease News-Medical.net Study finds 'stunning' lack of research into women's heart health - Canada News Castanet.net Cardiologist explains importance of lifestyle choices when monitoring heart health WKBN27 Men and women face differ…,2020-02-18T04:58:00Z
Engadget,Kris Holt,The Disney+ app is finally coming to Vizio TVs,"Vizio is rolling out an update to its smart TVs that'll add a proper Disney+ app to the SmartCast platform. Until now, Vizio owners have had to cast Disney+ to their TV using Chromecast or AirPlay 2. Not only will the app make it a little easier for folks to …",2020-02-20T18:00:00Z
Globalnews.ca,Sean Boynton,Via Rail cancels plans to resume Montreal-Quebec City service as new blockade pops up - Global News,Via Rail cancels plans to resume Montreal-Quebec City service as new blockade pops up Global News 'Fed up' shipping line diverts cargo from Halifax over rail shutdown CBC.ca How today's rail blockades could change tomorrow's policies Canadian Underwriter Via …,2020-02-20T01:02:32Z
Sudbury.com,Canadian Press,"Ontario reports three new cases of novel coronavirus, B.C reports one new case - Sudbury.com","Ontario reports three new cases of novel coronavirus, B.C reports one new case Sudbury.com More coronavirus cases arise in Canada, amid 1st U.S. COVID-19 death CBC News Coronavirus: Canada upgrades Iran health caution Kamloops Matters Ontario confirms three n…",2020-03-01T15:00:00Z
Ctvnews.ca,Ross Marowits,North American stock markets partially rebound on stimulus hope and higher crude - CTV News,"North American stock markets partially rebound on stimulus hope and higher crude CTV News As the TSX tanked, this was the only stock that stayed in the green Yahoo Canada Finance Buffett Indicator: How Much Further Will the TSX Stock Market Crash? The Motley …",2020-03-10T21:09:00Z
Huffingtonpost.ca,Premila D'Sa,Novel Coronavirus Outbreak Will Test Canada's Hospital Capacity: Experts - HuffPost Canada,Novel Coronavirus Outbreak Will Test Canada's Hospital Capacity: Experts HuffPost Canada View Full coverage on Google News,2020-02-22T20:00:54Z
